"filename", "language", "Python", "YAML", "JSON", "comment", "blank", "total"
"c:\Users\gshol\candeck-backend\config.yaml", "YAML", 0, 6, 0, 0, 1, 7
"c:\Users\gshol\candeck-backend\main.py", "Python", 29, 0, 0, 0, 9, 38
"c:\Users\gshol\candeck-backend\routes\__init__.py", "Python", 4, 0, 0, 0, 1, 5
"c:\Users\gshol\candeck-backend\routes\send_can.py", "Python", 8, 0, 0, 1, 1, 10
"c:\Users\gshol\candeck-backend\routes\toggle_valve.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\gshol\candeck-backend\schemas\custom.json", "JSON", 0, 0, 34, 0, 0, 34
"c:\Users\gshol\candeck-backend\transport\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\gshol\candeck-backend\transport\canbus_interface.py", "Python", 79, 0, 0, 0, 18, 97
"c:\Users\gshol\candeck-backend\transport\streamdeck_socket.py", "Python", 18, 0, 0, 2, 4, 24
"c:\Users\gshol\candeck-backend\utils.py", "Python", 30, 0, 0, 1, 8, 39
"Total", "-", 168, 6, 34, 4, 44, 256
